                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.66427,                0.48821,                 1.1727,                0.94158,                0.94987,                0.97692,                 0.6918,                 1.1241,                0.55281,                 1.9254,              0.0096783,              0.0096783,              0.0096783
                     67,                0.67995,                0.47879,                  1.169,                 0.9582,                0.89975,                0.92398,                 0.6987,                0.99667,                0.55194,                 1.7526,              0.0096733,              0.0096733,              0.0096733
                     68,                0.64781,                0.45299,                 1.1437,                0.89715,                0.93996,                0.95649,                0.68087,                 1.0613,                0.54267,                 1.8057,              0.0096684,              0.0096684,              0.0096684
                     69,                0.64105,                0.44907,                 1.1445,                 0.9717,                0.89819,                0.95862,                0.69372,                0.92986,                0.50495,                 1.6427,              0.0096634,              0.0096634,              0.0096634
                     70,                0.64224,                0.46267,                 1.1525,                0.96441,                0.86389,                0.93432,                0.71702,                0.92165,                0.51698,                 1.6923,              0.0096585,              0.0096585,              0.0096585
                     71,                0.63354,                0.46922,                 1.1576,                0.86966,                 0.6604,                0.79894,                 0.5053,                 1.4946,                 1.1301,                 2.6227,              0.0096535,              0.0096535,              0.0096535
                     72,                0.64802,                0.44999,                 1.1566,                0.77306,                0.85805,                0.86582,                0.61672,                  1.178,                 1.0187,                 1.9664,              0.0096486,              0.0096486,              0.0096486
                     73,                0.63549,                0.45198,                 1.1577,                0.95839,                0.84461,                 0.9199,                0.67439,                 1.0947,                0.62949,                 1.8957,              0.0096436,              0.0096436,              0.0096436
                     74,                0.61899,                0.41658,                 1.1299,                0.94015,                0.92356,                0.93845,                0.68765,                 1.1212,                0.56702,                 2.0157,              0.0096387,              0.0096387,              0.0096387
                     75,                0.63314,                0.44221,                   1.16,                0.93336,                0.89724,                0.92037,                0.66995,                 1.0703,                0.66437,                 1.8739,              0.0096337,              0.0096337,              0.0096337
                     76,                0.61475,                 0.4487,                 1.1368,                0.92811,                0.81707,                0.91547,                0.65134,                 1.1826,                0.69067,                 2.0994,              0.0096288,              0.0096288,              0.0096288
                     77,                 0.6363,                0.44193,                 1.1407,                0.87279,                0.91769,                0.94144,                0.64774,                 1.2176,                0.62602,                  2.259,              0.0096238,              0.0096238,              0.0096238
                     78,                0.58552,                0.43644,                 1.1217,                0.92297,                0.86718,                0.93085,                0.71939,                 1.0419,                0.85295,                 1.9071,              0.0096188,              0.0096188,              0.0096188
                     79,                0.62338,                 0.4449,                 1.1254,                0.88276,                0.86473,                0.93999,                0.71834,                 1.1476,                0.82956,                 2.0343,              0.0096139,              0.0096139,              0.0096139
                     80,                0.63558,                0.45452,                 1.1505,                0.93964,                0.94195,                0.96143,                0.69974,                 1.1514,                  0.553,                 2.1921,               0.009609,               0.009609,               0.009609
                     81,                0.62068,                0.43683,                 1.1482,                0.96403,                0.85292,                0.93138,                0.63559,                 1.1293,                  0.557,                 2.1744,               0.009604,               0.009604,               0.009604
                     82,                0.61398,                0.41382,                 1.1352,                0.96896,                0.89196,                0.95392,                0.71595,                0.95219,                0.63797,                 1.6605,               0.009599,               0.009599,               0.009599
                     83,                0.60873,                0.41738,                 1.1263,                0.95385,                0.92321,                0.94473,                0.69263,                 1.0473,                0.56733,                  1.778,              0.0095941,              0.0095941,              0.0095941
                     84,                0.61001,                0.43244,                 1.1487,                0.88655,                0.93185,                0.94357,                0.72301,                 1.1497,                 0.5506,                 1.9396,              0.0095892,              0.0095892,              0.0095892
                     85,                0.63447,                0.44241,                 1.1484,                0.94088,                0.92356,                0.96692,                0.72578,                 1.1109,                0.51393,                 1.9278,              0.0095842,              0.0095842,              0.0095842
                     86,                0.62908,                0.44086,                 1.1339,                0.89226,                0.92356,                0.93782,                0.68375,                 1.1575,                0.52701,                 2.0983,              0.0095793,              0.0095793,              0.0095793
                     87,                0.61759,                0.43369,                 1.1403,                0.96688,                0.85019,                0.95444,                 0.6856,                  1.256,                0.61091,                 2.2357,              0.0095743,              0.0095743,              0.0095743
                     88,                0.60606,                0.43093,                 1.1312,                0.91051,                0.92148,                0.94625,                0.69385,                 1.1541,                0.59139,                 1.9989,              0.0095694,              0.0095694,              0.0095694
                     89,                0.58802,                 0.4282,                 1.1238,                0.93717,                0.94295,                0.98097,                0.68816,                 1.1383,                0.55376,                  1.986,              0.0095644,              0.0095644,              0.0095644
                     90,                0.58107,                0.41129,                  1.131,                0.84823,                0.84279,                0.93539,                0.70913,                0.96813,                0.52036,                 1.8272,              0.0095595,              0.0095595,              0.0095595
                     91,                0.58975,                0.40657,                 1.1267,                0.91844,                 0.9426,                 0.9512,                0.70277,                0.97802,                0.45336,                 1.8119,              0.0095545,              0.0095545,              0.0095545
                     92,                0.59261,                0.41979,                 1.1165,                0.92667,                0.89509,                0.94509,                 0.6646,                 1.2641,                0.60215,                 2.0906,              0.0095496,              0.0095496,              0.0095496
                     93,                0.59798,                0.40869,                 1.1243,                0.88179,                0.91901,                0.95293,                0.70531,                 1.0762,                0.55933,                 1.9477,              0.0095446,              0.0095446,              0.0095446
                     94,                0.60557,                0.42147,                 1.1216,                0.96901,                0.94664,                0.96292,                0.71974,                 1.0877,                0.50151,                 2.0304,              0.0095397,              0.0095397,              0.0095397
                     95,                0.58406,                0.41147,                 1.1133,                0.94702,                0.88897,                0.92039,                0.67594,                 1.2066,                0.56911,                 2.1061,              0.0095347,              0.0095347,              0.0095347
                     96,                0.61223,                 0.4286,                 1.1107,                0.91343,                0.85213,                  0.926,                 0.6582,                 1.1584,                0.61684,                 2.0827,              0.0095298,              0.0095298,              0.0095298
                     97,                  0.581,                0.41304,                 1.1194,                0.95585,                0.84829,                0.93631,                0.69538,                 1.0966,                0.50109,                 2.0032,              0.0095248,              0.0095248,              0.0095248
                     98,                0.59139,                0.41918,                 1.1115,                0.93722,                0.90591,                 0.9329,                0.70624,                 1.0874,                0.47573,                 1.9756,              0.0095198,              0.0095198,              0.0095198
                     99,                0.56877,                0.41725,                 1.1154,                0.89357,                0.94767,                 0.9409,                0.70512,                 1.1553,                0.48737,                 2.0541,              0.0095149,              0.0095149,              0.0095149
                    100,                0.58542,                0.41265,                  1.114,                0.85681,                0.94685,                0.93251,                0.68195,                 1.1123,                0.53412,                 1.8964,                0.00951,                0.00951,                0.00951
                    101,                 0.5924,                0.42101,                 1.1058,                0.90234,                0.89985,                 0.9099,                0.68198,                0.97875,                0.54624,                 1.8305,               0.009505,               0.009505,               0.009505
                    102,                0.57271,                0.40982,                 1.0909,                0.89337,                0.89932,                0.91264,                0.68503,                 1.0208,                0.58879,                 1.8261,                 0.0095,                 0.0095,                 0.0095
                    103,                0.58233,                0.41283,                 1.1166,                0.94736,                0.90411,                0.96009,                0.70551,                 1.0555,                0.50005,                 1.8896,              0.0094951,              0.0094951,              0.0094951
                    104,                0.58018,                0.41679,                 1.1197,                0.95973,                0.90226,                0.95751,                0.69539,                 0.9425,                0.53429,                 1.6726,              0.0094902,              0.0094902,              0.0094902
                    105,                 0.5733,                0.40228,                 1.1052,                0.94415,                0.91297,                0.96904,                0.72652,                0.88541,                0.64589,                 1.6219,              0.0094852,              0.0094852,              0.0094852
                    106,                0.55831,                0.40479,                 1.0903,                0.93506,                 0.9275,                0.97477,                0.74904,                0.91372,                0.47928,                 1.7185,              0.0094803,              0.0094803,              0.0094803
                    107,                0.53871,                0.39252,                 1.1111,                0.84213,                0.94654,                 0.9357,                0.69103,                 1.0488,                0.56712,                 1.9489,              0.0094753,              0.0094753,              0.0094753
                    108,                0.56861,                0.40793,                 1.1014,                0.94189,                0.93581,                0.94219,                0.71361,                 1.1832,                0.49549,                 2.0833,              0.0094704,              0.0094704,              0.0094704
                    109,                0.54583,                0.39425,                 1.0827,                0.91842,                0.96712,                0.95443,                0.70903,                 1.0899,                0.51852,                 1.9931,              0.0094654,              0.0094654,              0.0094654
                    110,                0.56411,                0.39893,                 1.1174,                0.94585,                0.97368,                0.96151,                0.71075,                  1.016,                 0.4982,                 1.7928,              0.0094605,              0.0094605,              0.0094605
                    111,                  0.585,                0.40126,                 1.1081,                0.92925,                0.99377,                0.97787,                0.69999,                 1.1234,                0.54224,                 2.0224,              0.0094555,              0.0094555,              0.0094555
                    112,                0.53608,                0.37987,                 1.0923,                0.85167,                0.90809,                0.93779,                0.69336,                 1.1278,                0.91758,                 2.0055,              0.0094506,              0.0094506,              0.0094506
                    113,                0.54075,                0.39592,                 1.0881,                0.90907,                0.94987,                0.96744,                0.73724,                0.99448,                0.51861,                 1.8467,              0.0094456,              0.0094456,              0.0094456
                    114,                 0.5529,                0.39238,                 1.0902,                0.93852,                0.94487,                0.94565,                0.72189,                 1.1176,                0.52906,                 1.9908,              0.0094407,              0.0094407,              0.0094407
                    115,                0.55344,                0.39934,                 1.0911,                0.95266,                0.87093,                0.94157,                0.68716,                 1.0951,                0.64356,                 1.9415,              0.0094357,              0.0094357,              0.0094357
                    116,                0.54358,                0.40073,                 1.0881,                0.95917,                0.89695,                0.92646,                0.66486,                 1.1333,                 0.4981,                 2.0424,              0.0094307,              0.0094307,              0.0094307
                    117,                0.55499,                0.40615,                 1.0926,                0.91435,                0.96714,                0.94962,                0.70063,                0.99175,                0.46411,                 1.8986,              0.0094258,              0.0094258,              0.0094258
                    118,                0.54979,                0.38105,                 1.0962,                0.92392,                0.94214,                0.96558,                0.73467,                0.98355,                0.46312,                 1.7982,              0.0094208,              0.0094208,              0.0094208
                    119,                0.54191,                0.39452,                 1.0955,                0.91023,                0.86349,                0.93196,                0.68632,                 1.0442,                0.63248,                 1.8791,              0.0094159,              0.0094159,              0.0094159
                    120,                0.54056,                0.37142,                 1.0794,                0.95441,                0.82593,                0.96003,                0.68226,                 1.1105,                0.58705,                 1.9439,              0.0094109,              0.0094109,              0.0094109
                    121,                 0.5425,                0.38677,                 1.0901,                0.96176,                0.84619,                0.96558,                0.70968,                 1.1028,                0.73071,                 1.9423,               0.009406,               0.009406,               0.009406
                    122,                0.57086,                 0.4037,                 1.1016,                0.92946,                0.99775,                0.98794,                0.71858,                 1.0221,                0.57664,                 1.8606,               0.009401,               0.009401,               0.009401
                    123,                0.54695,                0.39738,                 1.0941,                0.92193,                0.95645,                0.96839,                0.73962,                 1.0392,                0.51665,                 1.8483,              0.0093961,              0.0093961,              0.0093961
                    124,                0.54311,                0.38771,                 1.0894,                0.89701,                0.91975,                0.93833,                0.71085,                 1.0257,                 0.5782,                 1.8608,              0.0093912,              0.0093912,              0.0093912
                    125,                0.54796,                0.40232,                 1.0875,                0.89125,                0.92356,                0.93276,                0.69681,                 1.1047,                0.52189,                 2.0582,              0.0093862,              0.0093862,              0.0093862
                    126,                0.51052,                0.37778,                 1.0799,                0.87012,                 0.9438,                0.92509,                0.68156,                 1.0419,                0.53212,                 2.0034,              0.0093813,              0.0093813,              0.0093813
                    127,                0.52892,                 0.3736,                 1.0844,                 0.9208,                0.91707,                0.94034,                0.71346,                 1.0953,                0.48337,                 2.0545,              0.0093763,              0.0093763,              0.0093763
                    128,                0.52567,                0.37809,                 1.0793,                0.87211,                0.90412,                0.94481,                0.71073,                0.90896,                0.53674,                 1.7151,              0.0093714,              0.0093714,              0.0093714
                    129,                0.53389,                0.38547,                 1.0707,                0.91599,                0.89148,                0.94746,                0.72189,                0.91321,                0.55635,                 1.7335,              0.0093664,              0.0093664,              0.0093664
                    130,                0.52593,                 0.3853,                   1.08,                0.90447,                0.89724,                0.94632,                0.72309,                0.96464,                0.50547,                 1.7001,              0.0093615,              0.0093615,              0.0093615
                    131,                0.52763,                0.36541,                 1.0796,                0.92689,                0.94679,                0.95364,                0.73118,                0.97723,                0.57657,                 1.7254,              0.0093565,              0.0093565,              0.0093565
                    132,                0.53426,                0.37368,                 1.0747,                0.91626,                0.90454,                0.94007,                0.72683,                 0.8902,                0.51013,                  1.617,              0.0093516,              0.0093516,              0.0093516
                    133,                0.53394,                0.37184,                 1.0827,                0.89594,                0.94579,                0.95045,                0.76998,                  0.846,                0.51572,                 1.5383,              0.0093466,              0.0093466,              0.0093466
                    134,                0.52531,                0.37387,                 1.0872,                0.96277,                0.89311,                0.96049,                0.74462,                0.97136,                0.61664,                 1.6844,              0.0093416,              0.0093416,              0.0093416
                    135,                 0.5352,                0.38013,                 1.0923,                0.91701,                0.97619,                0.98012,                 0.7476,                0.98498,                0.46961,                 1.7471,              0.0093367,              0.0093367,              0.0093367
                    136,                0.54459,                0.38168,                 1.0848,                0.92676,                0.96013,                0.95832,                0.69901,                0.98829,                 0.4761,                 1.7782,              0.0093317,              0.0093317,              0.0093317
                    137,                0.49712,                0.36671,                 1.0632,                0.89895,                0.94486,                0.94548,                0.71066,                 1.1302,                0.57613,                  2.105,              0.0093268,              0.0093268,              0.0093268
                    138,                0.50797,                0.36579,                 1.0633,                 0.9668,                0.94987,                0.95887,                0.75684,                0.91546,                0.45174,                 1.6988,              0.0093219,              0.0093219,              0.0093219
                    139,                0.52155,                0.36546,                 1.0593,                0.96599,                0.94987,                0.96004,                0.75393,                0.83405,                 0.4273,                  1.632,              0.0093169,              0.0093169,              0.0093169
                    140,                0.52286,                0.36049,                 1.0483,                  0.963,                0.94987,                0.97154,                0.76851,                0.90941,                0.43256,                  1.718,              0.0093119,              0.0093119,              0.0093119
                    141,                 0.5119,                0.36612,                  1.067,                0.94056,                0.97073,                0.97438,                0.77287,                0.90485,                0.48044,                 1.7033,               0.009307,               0.009307,               0.009307
                    142,                 0.5278,                0.36526,                 1.0664,                0.88856,                0.94395,                 0.9578,                0.76419,                0.83099,                 0.4959,                 1.6211,               0.009302,               0.009302,               0.009302
                    143,                0.51243,                0.36478,                 1.0669,                0.92149,                0.95401,                0.96685,                0.74831,                 0.8865,                 0.5117,                 1.6838,              0.0092971,              0.0092971,              0.0092971
                    144,                 0.5083,                0.36314,                 1.0578,                0.92412,                0.95566,                0.96967,                0.73849,                0.95031,                0.61109,                 1.7803,              0.0092922,              0.0092922,              0.0092922
                    145,                0.50033,                 0.3548,                 1.0533,                0.97136,                0.93659,                0.98818,                0.76598,                0.93217,                0.53191,                 1.7432,              0.0092872,              0.0092872,              0.0092872
                    146,                0.52054,                0.36448,                  1.059,                0.97137,                0.94945,                0.97044,                0.72925,                0.92732,                0.54346,                 1.8264,              0.0092823,              0.0092823,              0.0092823
                    147,                 0.5185,                0.36029,                 1.0576,                0.92569,                0.92356,                0.95179,                0.72714,                0.97006,                 0.5982,                 1.9288,              0.0092773,              0.0092773,              0.0092773
                    148,                0.50199,                0.36675,                 1.0659,                0.91853,                0.89724,                0.93035,                0.68816,                 1.1338,                 0.6423,                  2.051,              0.0092724,              0.0092724,              0.0092724
                    149,                0.49082,                 0.3549,                 1.0562,                0.89857,                0.89213,                0.91558,                0.72226,                   1.13,                0.54341,                 2.0315,              0.0092674,              0.0092674,              0.0092674
                    150,                 0.4958,                0.36574,                 1.0614,                0.94318,                0.94987,                0.95797,                0.74645,                 1.0491,                0.60819,                 1.8812,              0.0092625,              0.0092625,              0.0092625
                    151,                0.50674,                0.36413,                 1.0663,                0.88986,                0.94987,                0.95616,                0.74779,                 1.0133,                0.63177,                 1.9024,              0.0092575,              0.0092575,              0.0092575
                    152,                0.51286,                 0.3654,                 1.0651,                0.95965,                0.87093,                0.95012,                0.72027,                 1.0748,                0.61906,                 1.9536,              0.0092526,              0.0092526,              0.0092526
                    153,                0.51615,                0.35951,                 1.0703,                      1,                0.94595,                0.99109,                0.71851,                 1.0434,                0.50037,                 1.9067,              0.0092476,              0.0092476,              0.0092476
